year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2010	7	15	21	11	1	196	5.0	-40.0	0.96	-18.53	53.24	304.37	-55.63	-0.720	1.810	1.680	-20.340	-7412.000	-8136.000
2010	7	15	21	11	1	196	5.0	-48.0	7.13	-18.54	53.26	304.39	-55.61	-0.910	1.750	8.040	-20.290	-7416.000	-8116.000
2010	7	15	21	11	1	196	5.0	-56.0	11.38	-18.94	53.26	304.39	-55.61	-0.910	1.750	12.290	-20.690	-7576.000	-8276.000
2010	7	15	21	11	1	196	5.0	-64.0	3.88	-20.84	53.26	304.39	-55.61	-0.910	1.750	4.790	-22.590	-8336.000	-9036.000
2010	7	15	21	11	1	196	5.0	-72.0	2.53	-16.89	53.26	304.39	-55.61	-0.910	1.750	3.440	-18.640	-6756.000	-7456.000
2010	7	15	21	11	1	196	5.0	-80.0	-0.72	-11.94	53.26	304.39	-55.61	-0.910	1.750	0.190	-13.690	-4776.000	-5476.000
2010	7	15	21	11	1	196	5.0	-88.0	0.14	-0.58	53.26	304.39	-55.61	-0.910	1.750	1.050	-2.330	-232.000	-932.000
2010	7	15	21	11	1	196	5.0	-96.0	2.44	1.32	53.26	304.39	-55.61	-0.910	1.750	3.350	-0.430	528.000	-172.000
2010	7	15	21	11	1	196	5.0	-104.0	-0.86	0.42	53.26	304.39	-55.61	-0.910	1.750	0.050	-1.330	168.000	-532.000
2010	7	15	21	17	1	196	10.0	-32.0	1.30	-18.06	53.27	304.40	-55.60	-1.080	2.050	2.380	-20.110	-7224.000	-8044.000
2010	7	15	21	17	1	196	10.0	-40.0	5.01	-25.06	53.27	304.40	-55.60	-1.080	2.050	6.090	-27.110	-10024.000	-10844.000
2010	7	15	21	17	1	196	10.0	-48.0	9.31	-24.56	53.27	304.40	-55.60	-1.080	2.050	10.390	-26.610	-9824.000	-10644.000
2010	7	15	21	17	1	196	10.0	-56.0	2.51	-23.26	53.27	304.40	-55.60	-1.080	2.050	3.590	-25.310	-9304.000	-10124.000
2010	7	15	21	17	1	196	10.0	-64.0	8.90	-20.46	53.27	304.40	-55.60	-1.080	2.050	9.980	-22.510	-8184.000	-9004.000
2010	7	15	21	17	1	196	10.0	-72.0	0.00	-16.06	53.27	304.40	-55.60	-1.080	2.050	1.080	-18.110	-6424.000	-7244.000
2010	7	15	21	17	1	196	10.0	-80.0	4.30	-6.06	53.27	304.40	-55.60	-1.080	2.050	5.380	-8.110	-2424.000	-3244.000
2010	7	15	21	17	1	196	10.0	-88.0	-7.39	-11.16	53.27	304.40	-55.60	-1.080	2.050	-6.310	-13.210	-4464.000	-5284.000
2010	7	15	21	17	1	196	10.0	-96.0	-2.69	-3.36	53.27	304.40	-55.60	-1.080	2.050	-1.610	-5.410	-1344.000	-2164.000
2010	7	15	21	17	1	196	10.0	-104.0	-8.69	7.04	53.27	304.40	-55.60	-1.080	2.050	-7.610	4.990	2816.000	1996.000
2010	7	15	21	17	1	196	10.0	-112.0	7.01	1.64	53.27	304.40	-55.60	-1.080	2.050	8.090	-0.410	656.000	-164.000
2010	7	15	21	17	1	196	10.0	-120.0	9.90	5.14	53.27	304.40	-55.60	-1.080	2.050	10.980	3.090	2056.000	1236.000
2010	7	15	21	17	1	196	10.0	-128.0	7.51	3.24	53.27	304.40	-55.60	-1.080	2.050	8.590	1.190	1296.000	476.000
2010	7	15	21	17	1	196	10.0	-136.0	6.41	-8.46	53.27	304.40	-55.60	-1.080	2.050	7.490	-10.510	-3384.000	-4204.000
2010	7	15	21	17	1	196	10.0	-144.0	6.80	1.04	53.27	304.40	-55.60	-1.080	2.050	7.880	-1.010	416.000	-404.000
2010	7	15	23	38	1	196	30.0	-24.0	1.39	-16.67	53.41	304.65	-55.35	-4.030	6.030	5.420	-22.700	-6668.000	-9080.000
2010	7	15	23	38	1	196	30.0	-32.0	6.49	-23.52	53.41	304.65	-55.35	-4.030	6.030	10.520	-29.550	-9408.000	-11820.000
2010	7	15	23	38	1	196	30.0	-40.0	-1.54	-28.52	53.41	304.65	-55.35	-4.030	6.030	2.490	-34.550	-11408.000	-13820.000
2010	7	15	23	38	1	196	30.0	-48.0	0.17	-25.22	53.41	304.65	-55.35	-4.030	6.030	4.200	-31.250	-10088.000	-12500.000
2010	7	15	23	38	1	196	30.0	-56.0	-10.16	-27.66	53.41	304.65	-55.35	-4.030	6.030	-6.130	-33.690	-11064.000	-13476.000
2010	7	15	23	38	1	196	30.0	-64.0	-3.90	-23.59	53.41	304.65	-55.35	-4.030	6.030	0.130	-29.620	-9436.000	-11848.000
2010	7	15	23	38	1	196	30.0	-72.0	-6.75	-24.22	53.41	304.65	-55.35	-4.030	6.030	-2.720	-30.250	-9688.000	-12100.000
2010	7	15	23	38	1	196	30.0	-80.0	-3.77	-20.95	53.41	304.65	-55.35	-4.030	6.030	0.260	-26.980	-8380.000	-10792.000
2010	7	15	23	38	1	196	30.0	-88.0	-7.08	-19.07	53.41	304.64	-55.36	-3.980	6.040	-3.100	-25.110	-7628.000	-10044.000
2010	7	15	23	38	1	196	30.0	-96.0	-1.53	-14.94	53.41	304.65	-55.35	-4.030	6.030	2.500	-20.970	-5976.000	-8388.000
2010	7	15	23	38	1	196	30.0	-104.0	-5.27	-21.58	53.41	304.65	-55.35	-4.030	6.030	-1.240	-27.610	-8632.000	-11044.000
2010	7	15	23	38	1	196	30.0	-112.0	-3.74	-17.52	53.41	304.65	-55.35	-4.030	6.030	0.290	-23.550	-7008.000	-9420.000
2010	7	15	23	38	1	196	30.0	-120.0	-8.70	-8.88	53.41	304.65	-55.35	-4.030	6.030	-4.670	-14.910	-3552.000	-5964.000
2010	7	15	23	38	1	196	30.0	-128.0	-7.77	-11.05	53.41	304.65	-55.35	-4.030	6.030	-3.740	-17.080	-4420.000	-6832.000
2010	7	15	23	56	1	196	35.0	-24.0	-0.74	-12.11	53.44	304.70	-55.30	-3.820	5.860	3.080	-17.970	-4844.000	-7188.000
2010	7	15	23	56	1	196	35.0	-32.0	-2.57	-9.21	53.44	304.70	-55.30	-3.820	5.860	1.250	-15.070	-3684.000	-6028.000
2010	7	15	23	56	1	196	35.0	-40.0	1.90	-13.71	53.44	304.70	-55.30	-3.820	5.860	5.720	-19.570	-5484.000	-7828.000
2010	7	15	23	56	1	196	35.0	-48.0	-0.67	-13.01	53.44	304.70	-55.30	-3.820	5.860	3.150	-18.870	-5204.000	-7548.000
2010	7	15	23	56	1	196	35.0	-56.0	-2.80	-16.54	53.44	304.70	-55.30	-3.820	5.860	1.020	-22.400	-6616.000	-8960.000
2010	7	15	23	56	1	196	35.0	-64.0	-5.30	-15.88	53.44	304.70	-55.30	-3.820	5.860	-1.480	-21.740	-6352.000	-8696.000
2010	7	15	23	56	1	196	35.0	-72.0	-7.44	-11.94	53.44	304.70	-55.30	-3.820	5.860	-3.620	-17.800	-4776.000	-7120.000
2010	7	15	23	56	1	196	35.0	-80.0	-4.64	-12.14	53.44	304.70	-55.30	-3.820	5.860	-0.820	-18.000	-4856.000	-7200.000
2010	7	15	23	56	1	196	35.0	-88.0	-6.20	-18.84	53.44	304.70	-55.30	-3.820	5.860	-2.380	-24.700	-7536.000	-9880.000
2010	7	15	23	56	1	196	35.0	-96.0	-8.80	-14.54	53.44	304.70	-55.30	-3.820	5.860	-4.980	-20.400	-5816.000	-8160.000
2010	7	15	23	56	1	196	35.0	-104.0	-3.77	-19.28	53.44	304.70	-55.30	-3.820	5.860	0.050	-25.140	-7712.000	-10056.000
2010	7	15	23	56	1	196	35.0	-112.0	-6.64	-17.68	53.44	304.70	-55.30	-3.820	5.860	-2.820	-23.540	-7072.000	-9416.000
2010	7	15	23	56	1	196	35.0	-120.0	-8.94	-15.02	53.45	304.71	-55.29	-3.870	5.870	-5.070	-20.890	-6008.000	-8356.000
2010	7	15	23	56	1	196	35.0	-128.0	-3.20	-15.91	53.44	304.70	-55.30	-3.820	5.860	0.620	-21.770	-6364.000	-8708.000
2010	7	15	23	56	1	196	35.0	-136.0	-8.28	-18.78	53.45	304.72	-55.28	-3.920	5.830	-4.360	-24.610	-7512.000	-9844.000
