year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2009	7	22	2	16	1	203	5.0	-24.0	0.85	-18.75	53.24	304.36	-55.64	1.290	-4.620	-0.440	-14.130	-7500.000	-5652.000
2009	7	22	2	16	1	203	5.0	-32.0	1.08	-16.30	53.24	304.36	-55.64	1.290	-4.620	-0.210	-11.680	-6520.000	-4672.000
2009	7	22	2	16	1	203	5.0	-40.0	-1.54	-16.40	53.24	304.36	-55.64	1.290	-4.620	-2.830	-11.780	-6560.000	-4712.000
2009	7	22	2	16	1	203	5.0	-48.0	-1.21	-16.30	53.24	304.36	-55.64	1.290	-4.620	-2.500	-11.680	-6520.000	-4672.000
2009	7	22	2	16	1	203	5.0	-56.0	-3.54	-16.91	53.25	304.37	-55.63	1.660	-4.520	-5.200	-12.390	-6764.000	-4956.000
2009	7	22	2	16	1	203	5.0	-64.0	0.83	-17.83	53.25	304.38	-55.62	1.810	-4.450	-0.980	-13.380	-7132.000	-5352.000
2009	7	22	2	16	1	203	5.0	-72.0	-0.87	-17.68	53.25	304.38	-55.62	1.810	-4.450	-2.680	-13.230	-7072.000	-5292.000
2009	7	22	2	16	1	203	5.0	-80.0	-1.16	-16.99	53.25	304.38	-55.62	1.810	-4.450	-2.970	-12.540	-6796.000	-5016.000
2009	7	22	2	16	1	203	5.0	-88.0	0.62	-11.44	53.25	304.38	-55.62	1.810	-4.450	-1.190	-6.990	-4576.000	-2796.000
2009	7	22	2	16	1	203	5.0	-96.0	-3.13	-13.29	53.25	304.38	-55.62	1.810	-4.450	-4.940	-8.840	-5316.000	-3536.000
2009	7	22	2	16	1	203	5.0	-104.0	-0.88	-13.79	53.25	304.38	-55.62	1.810	-4.450	-2.690	-9.340	-5516.000	-3736.000
2009	7	22	2	16	1	203	5.0	-112.0	-6.08	-13.00	53.25	304.39	-55.61	1.920	-4.410	-8.000	-8.590	-5200.000	-3436.000
2009	7	22	2	16	1	203	5.0	-120.0	5.22	-5.90	53.25	304.39	-55.61	1.920	-4.410	3.300	-1.490	-2360.000	-596.000
2009	7	22	2	16	1	203	5.0	-128.0	0.62	-3.60	53.25	304.39	-55.61	1.920	-4.410	-1.300	0.810	-1440.000	324.000
2009	7	22	1	47	1	203	10.0	-24.0	-5.79	-16.72	53.28	304.42	-55.58	2.410	-4.750	-8.200	-11.970	-6688.000	-4788.000
