year	mon	day	hr	min	sec	deciday	distance(5Km_bin)	depth(m)	U_Vel(cm/s)	V_Vel(cm/s)	Latitude	Longitude(360deg)	Longitude	U_Tide(cm/s)	V_Tide(cm/s)	U_Vel-U_Tide(cm/s)	V_Vel-V_Tide(cm/s)	Vol_Transport_V_Raw(m^3/s)	Vol_Transport_V_Raw-V_Tide(m^3/s)
2012	11	22	8	2	1	327	180.0	-152.0	25.41	-16.81	54.35	306.28	-53.72	5.760	-3.260	19.650	-13.550	-6724.000	-5420.000
2012	11	22	8	2	1	327	180.0	-160.0	24.63	-14.03	54.35	306.28	-53.72	5.760	-3.260	18.870	-10.770	-5612.000	-4308.000
2012	11	22	8	2	1	327	180.0	-168.0	23.31	-12.28	54.35	306.28	-53.72	5.760	-3.260	17.550	-9.020	-4912.000	-3608.000
2012	11	22	8	2	1	327	180.0	-176.0	22.18	-10.51	54.35	306.28	-53.72	5.760	-3.260	16.420	-7.250	-4204.000	-2900.000
2012	11	22	8	2	1	327	180.0	-184.0	17.55	-10.02	54.35	306.28	-53.72	5.760	-3.260	11.790	-6.760	-4008.000	-2704.000
2012	11	22	8	2	1	327	180.0	-192.0	14.21	-13.86	54.35	306.28	-53.72	5.760	-3.260	8.450	-10.600	-5544.000	-4240.000
2012	11	22	8	55	1	327	185.0	-72.0	50.17	-30.84	54.39	306.37	-53.63	4.960	-4.660	45.210	-26.180	-12336.000	-10472.000
2012	11	22	8	55	1	327	185.0	-80.0	32.97	-29.64	54.39	306.37	-53.63	4.960	-4.660	28.010	-24.980	-11856.000	-9992.000
2012	11	22	8	55	1	327	185.0	-88.0	20.76	-31.64	54.39	306.37	-53.63	4.960	-4.660	15.800	-26.980	-12656.000	-10792.000
2012	11	22	8	55	1	327	185.0	-96.0	20.97	-34.44	54.39	306.37	-53.63	4.960	-4.660	16.010	-29.780	-13776.000	-11912.000
2012	11	22	8	55	1	327	185.0	-104.0	23.57	-30.04	54.39	306.37	-53.63	4.960	-4.660	18.610	-25.380	-12016.000	-10152.000
2012	11	22	8	55	1	327	185.0	-112.0	30.17	-20.64	54.39	306.37	-53.63	4.960	-4.660	25.210	-15.980	-8256.000	-6392.000
2012	11	22	8	55	1	327	185.0	-120.0	25.26	-18.64	54.39	306.37	-53.63	4.960	-4.660	20.300	-13.980	-7456.000	-5592.000
2012	11	22	8	55	1	327	185.0	-184.0	17.07	-19.04	54.39	306.37	-53.63	4.960	-4.660	12.110	-14.380	-7616.000	-5752.000
2012	11	22	8	55	1	327	185.0	-192.0	11.77	-5.84	54.39	306.37	-53.63	4.960	-4.660	6.810	-1.180	-2336.000	-472.000
2012	11	22	9	19	1	327	195.0	-112.0	-0.07	-22.27	54.47	306.45	-53.55	3.530	-4.660	-3.600	-17.610	-8908.000	-7044.000
2012	11	22	9	19	1	327	195.0	-120.0	1.83	-24.48	54.47	306.45	-53.55	3.530	-4.660	-1.700	-19.820	-9792.000	-7928.000
2012	11	22	9	19	1	327	195.0	-128.0	7.43	-21.88	54.47	306.45	-53.55	3.530	-4.660	3.900	-17.220	-8752.000	-6888.000
2012	11	22	9	19	1	327	195.0	-136.0	1.53	-12.27	54.47	306.45	-53.55	3.530	-4.660	-2.000	-7.610	-4908.000	-3044.000
2012	11	22	9	19	1	327	195.0	-144.0	0.33	-22.11	54.46	306.44	-53.56	3.630	-4.720	-3.300	-17.390	-8844.000	-6956.000
2012	11	22	9	19	1	327	195.0	-152.0	10.83	-17.38	54.47	306.45	-53.55	3.530	-4.660	7.300	-12.720	-6952.000	-5088.000
2012	11	22	9	19	1	327	195.0	-160.0	6.83	-22.17	54.47	306.45	-53.55	3.530	-4.660	3.300	-17.510	-8868.000	-7004.000
2012	11	22	9	19	1	327	195.0	-168.0	14.73	-30.77	54.47	306.45	-53.55	3.530	-4.660	11.200	-26.110	-12308.000	-10444.000
2012	11	22	9	19	1	327	195.0	-176.0	13.78	-27.56	54.46	306.44	-53.56	3.630	-4.720	10.150	-22.840	-11024.000	-9136.000
2012	11	22	9	19	1	327	195.0	-192.0	31.53	-30.35	54.45	306.43	-53.57	3.740	-4.770	27.790	-25.580	-12140.000	-10232.000
2012	11	22	9	48	1	327	200.0	-32.0	-13.65	-44.04	54.50	306.50	-53.50	2.520	-4.930	-16.170	-39.110	-17616.000	-15644.000
2012	11	22	9	48	1	327	200.0	-40.0	-19.79	-19.05	54.49	306.48	-53.52	2.550	-4.910	-22.340	-14.140	-7620.000	-5656.000
2012	11	22	9	48	1	327	200.0	-48.0	-21.17	-27.53	54.50	306.49	-53.51	2.530	-4.960	-23.700	-22.570	-11012.000	-9028.000
2012	11	22	9	48	1	327	200.0	-56.0	-18.83	-33.62	54.50	306.49	-53.51	2.530	-4.960	-21.360	-28.660	-13448.000	-11464.000
2012	11	22	9	48	1	327	200.0	-64.0	-11.61	-34.51	54.49	306.48	-53.52	2.550	-4.910	-14.160	-29.600	-13804.000	-11840.000
2012	11	22	9	48	1	327	200.0	-72.0	-10.67	-32.18	54.49	306.49	-53.51	2.540	-4.870	-13.210	-27.310	-12872.000	-10924.000
2012	11	22	9	48	1	327	200.0	-80.0	-8.93	-33.38	54.49	306.49	-53.51	2.540	-4.870	-11.470	-28.510	-13352.000	-11404.000
2012	11	22	9	48	1	327	200.0	-88.0	-8.71	-35.60	54.49	306.49	-53.51	2.540	-4.870	-11.250	-30.730	-14240.000	-12292.000
2012	11	22	9	48	1	327	200.0	-96.0	-6.81	-41.78	54.50	306.49	-53.51	2.530	-4.960	-9.340	-36.820	-16712.000	-14728.000
2012	11	22	9	48	1	327	200.0	-104.0	-3.57	-41.54	54.49	306.49	-53.51	2.540	-4.870	-6.110	-36.670	-16616.000	-14668.000
2012	11	22	9	48	1	327	200.0	-112.0	7.12	-39.51	54.49	306.48	-53.52	2.550	-4.910	4.570	-34.600	-15804.000	-13840.000
2012	11	22	9	48	1	327	200.0	-120.0	2.78	-33.49	54.49	306.48	-53.52	2.550	-4.910	0.230	-28.580	-13396.000	-11432.000
2012	11	22	9	48	1	327	200.0	-128.0	7.40	-39.20	54.49	306.49	-53.51	2.540	-4.870	4.860	-34.330	-15680.000	-13732.000
2012	11	22	9	48	1	327	200.0	-136.0	1.63	-37.60	54.49	306.49	-53.51	2.540	-4.870	-0.910	-32.730	-15040.000	-13092.000
2012	11	22	9	48	1	327	200.0	-144.0	0.25	-39.46	54.49	306.49	-53.51	2.540	-4.870	-2.290	-34.590	-15784.000	-13836.000
2012	11	22	9	48	1	327	200.0	-152.0	4.38	-37.71	54.50	306.49	-53.51	2.530	-4.960	1.850	-32.750	-15084.000	-13100.000
2012	11	22	9	48	1	327	200.0	-160.0	1.93	-32.77	54.49	306.49	-53.51	2.540	-4.870	-0.610	-27.900	-13108.000	-11160.000
2012	11	22	9	48	1	327	200.0	-168.0	0.21	-34.91	54.50	306.49	-53.51	2.530	-4.960	-2.320	-29.950	-13964.000	-11980.000
2012	11	22	9	48	1	327	200.0	-176.0	0.80	-32.50	54.49	306.49	-53.51	2.540	-4.870	-1.740	-27.630	-13000.000	-11052.000
2012	11	22	9	48	1	327	200.0	-184.0	3.88	-33.70	54.49	306.49	-53.51	2.540	-4.870	1.340	-28.830	-13480.000	-11532.000
2012	11	22	9	48	1	327	200.0	-192.0	6.50	-32.98	54.50	306.50	-53.50	2.520	-4.930	3.980	-28.050	-13192.000	-11220.000
2012	11	22	9	48	1	327	200.0	-200.0	11.50	-37.03	54.50	306.50	-53.50	2.520	-4.930	8.980	-32.100	-14812.000	-12840.000
2012	11	22	9	48	1	327	200.0	-208.0	13.75	-44.94	54.50	306.50	-53.50	2.520	-4.930	11.230	-40.010	-17976.000	-16004.000
2012	11	22	9	48	1	327	200.0	-216.0	20.65	-37.23	54.50	306.50	-53.50	2.520	-4.930	18.130	-32.300	-14892.000	-12920.000
2012	11	22	9	48	1	327	200.0	-224.0	30.85	-36.28	54.50	306.50	-53.50	2.520	-4.930	28.330	-31.350	-14512.000	-12540.000
2012	11	22	9	48	1	327	200.0	-232.0	37.40	-40.38	54.50	306.50	-53.50	2.520	-4.930	34.880	-35.450	-16152.000	-14180.000
2012	11	22	10	36	1	327	215.0	-56.0	30.26	-36.44	54.57	306.64	-53.36	0.360	-3.590	29.900	-32.850	-14576.000	-13140.000
2012	11	22	10	36	1	327	215.0	-64.0	33.33	-27.25	54.57	306.65	-53.35	0.360	-3.480	32.970	-23.770	-10900.000	-9508.000
2012	11	22	10	36	1	327	215.0	-72.0	37.26	-31.04	54.57	306.64	-53.36	0.360	-3.590	36.900	-27.450	-12416.000	-10980.000
2012	11	22	10	36	1	327	215.0	-80.0	28.76	-30.64	54.57	306.64	-53.36	0.360	-3.590	28.400	-27.050	-12256.000	-10820.000
2012	11	22	10	36	1	327	215.0	-88.0	31.56	-30.94	54.57	306.64	-53.36	0.360	-3.590	31.200	-27.350	-12376.000	-10940.000
2012	11	22	10	36	1	327	215.0	-96.0	26.86	-40.24	54.57	306.64	-53.36	0.360	-3.590	26.500	-36.650	-16096.000	-14660.000
2012	11	22	10	36	1	327	215.0	-104.0	27.36	-42.74	54.57	306.64	-53.36	0.360	-3.590	27.000	-39.150	-17096.000	-15660.000
2012	11	22	10	36	1	327	215.0	-112.0	27.26	-36.14	54.57	306.64	-53.36	0.360	-3.590	26.900	-32.550	-14456.000	-13020.000
2012	11	22	10	36	1	327	215.0	-120.0	22.08	-30.20	54.57	306.65	-53.35	0.360	-3.480	21.720	-26.720	-12080.000	-10688.000
2012	11	22	10	36	1	327	215.0	-128.0	21.96	-35.74	54.57	306.64	-53.36	0.360	-3.590	21.600	-32.150	-14296.000	-12860.000
2012	11	22	10	36	1	327	215.0	-136.0	27.56	-35.34	54.57	306.64	-53.36	0.360	-3.590	27.200	-31.750	-14136.000	-12700.000
2012	11	22	10	36	1	327	215.0	-144.0	1.86	-31.14	54.57	306.64	-53.36	0.360	-3.590	1.500	-27.550	-12456.000	-11020.000
2012	11	22	10	36	1	327	215.0	-152.0	1.86	-34.74	54.57	306.64	-53.36	0.360	-3.590	1.500	-31.150	-13896.000	-12460.000
2012	11	22	10	36	1	327	215.0	-160.0	12.58	-25.80	54.57	306.65	-53.35	0.360	-3.480	12.220	-22.320	-10320.000	-8928.000
2012	11	22	10	36	1	327	215.0	-168.0	11.86	-26.74	54.57	306.64	-53.36	0.360	-3.590	11.500	-23.150	-10696.000	-9260.000
2012	11	22	10	36	1	327	215.0	-176.0	9.10	-22.45	54.58	306.66	-53.34	0.340	-3.370	8.760	-19.080	-8980.000	-7632.000
2012	11	22	10	36	1	327	215.0	-184.0	7.38	-15.75	54.57	306.65	-53.35	0.360	-3.480	7.020	-12.270	-6300.000	-4908.000
2012	11	22	10	36	1	327	215.0	-192.0	6.26	-11.14	54.57	306.64	-53.36	0.360	-3.590	5.900	-7.550	-4456.000	-3020.000
2012	11	22	10	36	1	327	215.0	-200.0	13.26	1.26	54.57	306.64	-53.36	0.360	-3.590	12.900	4.850	504.000	1940.000
2012	11	22	10	36	1	327	215.0	-216.0	-3.04	-1.94	54.57	306.64	-53.36	0.360	-3.590	-3.400	1.650	-776.000	660.000
2012	11	22	10	36	1	327	215.0	-224.0	-1.04	-5.24	54.57	306.64	-53.36	0.360	-3.590	-1.400	-1.650	-2096.000	-660.000
2012	11	22	10	36	1	327	215.0	-232.0	3.36	-12.84	54.57	306.64	-53.36	0.360	-3.590	3.000	-9.250	-5136.000	-3700.000
2012	11	22	10	36	1	327	215.0	-248.0	13.36	-16.54	54.57	306.64	-53.36	0.360	-3.590	13.000	-12.950	-6616.000	-5180.000
2012	11	22	10	36	1	327	215.0	-256.0	18.96	-7.44	54.57	306.64	-53.36	0.360	-3.590	18.600	-3.850	-2976.000	-1540.000
2012	11	22	10	36	1	327	215.0	-264.0	16.96	-14.84	54.57	306.64	-53.36	0.360	-3.590	16.600	-11.250	-5936.000	-4500.000
